key,issueType,sprint,status,summary,description,storyPoint,priority,watchcount,fixVersions,affectedVersions,assignee,creator,reporter,commentCount,votes,issueLinks,blockedBy,blocks,dependedOnBy,dependedOn,subtasks
USERGRID-462,Bug,186,Resolved, Load Test with 2.1,When re-indexing entities that have a geo_location on it the geo_field is missing.  We need to investigate why this is happening.,3,1,1,1,0,Shawn Feldman,Todd Nine,Todd Nine,0,0,0,0,0,0,0,0
USERGRID-592,Story,114,Closed, Look at 'Fix X test' and close if needed,If Central Usergrid then the Portal should redirect the user to the central Usergrid instance for login/registration.And when the Portal gets an Admin User token from the Central Usergrid SSO system the Portal must validate it against the Usergrid system with which it is configured to work.This is a spike to design a possible solution for SSO support in portal.,3,3,1,0,0,David Johnson,David Johnson,David Johnson,2,0,0,0,0,0,0,0
USERGRID-740,Bug,152,Closed, RegistrationIT.addExistingAdminUserToOrganization:304 ┬╗ UniformInterface POST ...  RegistrationIT.addNewAdminUserWithNoPwdToOrganization:245->postAddAdminToOrg:90 ┬╗ ClientHandler  RegistrationIT.postAddToOrganization:222->AbstractRestIT.getAdminToken:173 ┬╗ UniformInterface  RegistrationIT.postCreateOrgAndAdmin:134->AbstractRestIT.getAdminToken:173 ┬╗ UniformInterface  RegistrationIT.putAddToOrganizationFail:195->AbstractRestIT.getAdminToken:173 ┬╗ UniformInterface,After running Usergrid 2.0 for over 1 month on a tomcat we have saturated the inodes of the disk on the tomcat machine.  Our temporary files for uploads are not getting removed.  Files of this structure appear in {code} ls -lrt  /var/cache/tomcat7/temp-rw-r--r-- 1 tomcat tomcat 0 Jun  9 23:23 MIME377627531473294092.tmp-rw-r--r-- 1 tomcat tomcat 0 Jun  9 23:23 MIME2634951521985073318.tmp-rw-r--r-- 1 tomcat tomcat 0 Jun  9 23:23 MIME1066361445384372180.tmp-rw-r--r-- 1 tomcat tomcat 0 Jun  9 23:23 MIME3554741621747313255.tmp-rw-r--r-- 1 tomcat tomcat 0 Jun  9 23:23 MIME1805372544199883785.tmp-rw-r--r-- 1 tomcat tomcat 0 Jun  9 23:23 MIME414525331725926400.tmp{code}We need to ensure that all temporary files are removed.  Note that all the files remaining are 0 bytes.  This seems to be caused by an edge case when a 0 byte file is uploaded or possibly the upload is failing.,5,2,3,1,0,George Reyes,Todd Nine,Todd Nine,4,0,1,1,1,0,0,0
USERGRID-534,Story,109,Closed, Review 'ignored tests',Test load with the frankenloader in e2e for the upcoming release,3,3,1,1,0,Jeffrey West,Jeffrey West,Jeffrey West,1,0,0,0,0,0,0,0
USERGRID-534,Story,152,Closed, Understand what remains and break up tasks for migrating properties from files on Tomcat to Org-level in the management app,Test load with the frankenloader in e2e for the upcoming release,3,3,1,1,0,Jeffrey West,Jeffrey West,Jeffrey West,1,0,0,0,0,0,0,0
USERGRID-687,Bug,129,Closed,"""dynamic"": ""strict""We should ensure this is not used per https://www.elastic.co/guide/en/elasticsearch/reference/current/mapping-dynamic-mapping.html",Fix AndOrQueryTest:queryReturnCheckqueryReturnCheckWithShortHand,1,3,1,1,0,George Reyes,George Reyes,George Reyes,0,0,0,0,0,0,0,0
XD-2869,Story,79,Done,`minPartitionCount` is ignored by the consumer,As a user I logged in with ROLE_CREATE and I get an error while trying job creation from admin_ui. I can create job from the shell successfully. Trying the same workflow with ROLE_ADMIN results with the same error as well. I don't see anything in the admin/container logs about the error itself. ,1,4,2,0,0,Gunnar Hillert,Sabby Anandan,Sabby Anandan,4,0,1,0,0,0,0,0
USERGRID-527,Story,109,Closed,`volume/secret` isolator should cleanup the stored secret from runtime directory when the container is destroyed,One of the problems we have faced is uneven distribution in the ES cluster.  We have made changes for document routing that seemed to help but we are still getting hot nodes in the cluster.  We need to have a test that hits ES directly with load as UG would do to test our cluster distribution.,3,2,3,1,0,Senthil Kumar K,Jeffrey West,Jeffrey West,7,0,1,0,0,0,0,0
USERGRID-533,Story,107,Closed,1. update status page to include all users2. create DRAFT Top Level Project resolution3. start discussion on dev list,Ensure we create >11 apps and that it works.,2,3,2,1,0,David Johnson,Jeffrey West,Jeffrey West,2,0,1,1,1,0,0,0
USERGRID-706,Story,146,Closed,2015-08-25 00:01:10246 [http-bio-8080-exec-313] ERROR org.apache.usergrid.rest.exceptions.AbstractExceptionMapper- org.apache.usergrid.rest.exceptions.UncaughtException Server Error (500)org.apache.usergrid.rest.exceptions.UncaughtException: java.lang.StackOverflowError        at org.apache.usergrid.rest.exceptions.AbstractExceptionMapper.toResponse(AbstractExceptionMapper.java:59)        at org.apache.usergrid.rest.exceptions.ThrowableMapper.toResponse(ThrowableMapper.java:37)        at com.sun.jersey.spi.container.ContainerResponse.mapException(ContainerResponse.java:480)        at com.sun.jersey.spi.container.ContainerResponse.mapMappableContainerException(ContainerResponse.java:417)        at com.sun.jersey.server.impl.application.WebApplicationImpl._handleRequest(WebApplicationImpl.java:1477)        at com.sun.jersey.server.impl.application.WebApplicationImpl.handleRequest(WebApplicationImpl.java:1419)        at com.sun.jersey.server.impl.application.WebApplicationImpl.handleRequest(WebApplicationImpl.java:1409)        at com.sun.jersey.spi.container.servlet.WebComponent.service(WebComponent.java:409)        at com.sun.jersey.spi.container.servlet.ServletContainer.service(ServletContainer.java:558)        at com.sun.jersey.spi.container.servlet.ServletContainer.doFilter(ServletContainer.java:927)        at com.sun.jersey.spi.container.servlet.ServletContainer.doFilter(ServletContainer.java:875)        at com.sun.jersey.spi.container.servlet.ServletContainer.doFilter(ServletContainer.java:829)        at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:241)        at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:208)        at org.apache.shiro.web.servlet.AbstractShiroFilter.executeChain(AbstractShiroFilter.java:449)        at org.apache.shiro.web.servlet.AbstractShiroFilter$1.call(AbstractShiroFilter.java:365)        at org.apache.shiro.subject.support.SubjectCallable.doCall(SubjectCallable.java:90)        at org.apache.shiro.subject.support.SubjectCallable.call(SubjectCallable.java:83)        at org.apache.shiro.subject.support.DelegatingSubject.execute(DelegatingSubject.java:383)        at org.apache.shiro.web.servlet.AbstractShiroFilter.doFilterInternal(AbstractShiroFilter.java:362)        at org.apache.shiro.web.servlet.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:125)        at org.springframework.web.filter.DelegatingFilterProxy.invokeDelegate(DelegatingFilterProxy.java:343)        at org.springframework.web.filter.DelegatingFilterProxy.doFilter(DelegatingFilterProxy.java:260)        at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:241)        at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:208)        at org.apache.usergrid.rest.filters.ContentTypeFilter.doFilter(ContentTypeFilter.java:92)        at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:241)        at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:208)        at org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:220)        at org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:122)        at org.apache.catalina.authenticator.AuthenticatorBase.invoke(AuthenticatorBase.java:504)        at org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:170)        at org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:103)        at org.apache.catalina.valves.AccessLogValve.invoke(AccessLogValve.java:950)        at org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:116)        at org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:421)        at org.apache.coyote.http11.AbstractHttp11Processor.process(AbstractHttp11Processor.java:1074)        at org.apache.coyote.AbstractProtocol$AbstractConnectionHandler.process(AbstractProtocol.java:611)        at org.apache.tomcat.util.net.JIoEndpoint$SocketProcessor.run(JIoEndpoint.java:314)        at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1142)        at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:617)        at org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run(TaskThread.java:61)        at java.lang.Thread.run(Thread.java:745)Caused by: java.lang.StackOverflowError        at org.apache.usergrid.persistence.model.entity.MapToEntityConverter.processListForField(MapToEntityConverter.java:148)        at org.apache.usergrid.persistence.model.entity.MapToEntityConverter.processListForField(MapToEntityConverter.java:148)        at org.apache.usergrid.persistence.model.entity.MapToEntityConverter.processListForField(MapToEntityConverter.java:148)        at org.apache.usergrid.persistence.model.entity.MapToEntityConverter.processListForField(MapToEntityConverter.java:148)        at org.apache.usergrid.persistence.model.entity.MapToEntityConverter.processListForField(MapToEntityConverter.java:148),The first pass of the re-index with is complete.  Testing in a system to ensure that re-index works as expected still needs to be completed.,5,3,2,1,0,Michael Russo,Todd Nine,Todd Nine,1,0,0,0,0,0,0,0
USERGRID-854,Story,152,Closed,3 Change serialization format that is used to store entities in Cassandra,null,2,3,1,1,0,Shawn Feldman,Jeffrey West,Jeffrey West,0,0,0,0,0,0,0,0
USERGRID-876,Story,210,Closed,401 ServiceResourceNotFoundException instead of expected 404,Hopefully there's nothing bad in there.,3,3,2,0,2,David Johnson,Jeffrey West,Jeffrey West,4,0,0,0,0,0,0,0
USERGRID-933,Story,186,Closed,5 Cleanup test harness and create a more declarative test framework,null,3,3,2,1,0,Mike Dunker,Jeffrey West,Jeffrey West,13,0,0,0,0,0,0,0
XD-363,Story,15,Done,A batch job can be launched by sending a message on a channel,null,1,4,3,1,0,Ilayaperumal Gopinathan,Mark Pollack,Mark Pollack,3,0,0,0,0,0,0,0
USERGRID-466,Bug,97,Closed,A call to /system/database/setup currently performs a database setup ES setup and then proceeds to migrate data.  This should be split into 2 separate events.  They should be the following. /system/database/setup creates all column families and ES indexes/system/database/bootstrap runs a datamigration manager then  creates all bootstrap data required for usergrid to function,When the index queue is full and ES rejects index requests Usergrid drops them.  The result could be that entities cannot be returned.We should handle this soon.  At a minimum we should put them in an SQS queue or something similar for future handling.,5,1,2,1,0,Todd Nine,Jeffrey West,Jeffrey West,2,0,1,0,0,0,0,0
USERGRID-933,Story,210,Closed,Ability to generate a master Jacoco coverage report,null,3,3,2,1,0,Mike Dunker,Jeffrey West,Jeffrey West,13,0,0,0,0,0,0,0
XD-2778,Story,77,Done,Ability to tap spark streaming processor output,As a developer I'd like to document the changes to message headers so that users can refer to the troubleshooting section if there are any serialization errors when reusing the 1.0 batch-jobs in 1.1 release.Perhaps this could be part of [troubleshooting|https://github.com/spring-projects/spring-xd/wiki/Deployment#troubleshooting] section in our wiki.,1,4,2,2,0,Gary Russell,Sabby Anandan,Sabby Anandan,1,0,0,0,0,0,0,0
XD-2679,Technical task,73,Done,"Able to bypass authorization checks by appending "".json"" or "".xml""",null,3,3,1,1,0,Thomas Risberg,Thomas Risberg,Thomas Risberg,0,0,0,0,0,0,0,0
USERGRID-933,Story,187,Closed,AbstractReadGraphFilter produces and queues empty queue operations,null,3,3,2,1,0,Mike Dunker,Jeffrey West,Jeffrey West,13,0,0,0,0,0,0,0
XD-1083,Improvement,28,Done,AbstractShellIntegrationTests should start and stop server once.,Adopted functionality from spring batch adminShould include springmvc test framework style testsGET /batch/jobs/executions/{executionId}/steps - Get information on all steps of a given job execution,4,4,1,1,0,Gunnar Hillert,Mark Pollack,Mark Pollack,0,0,0,0,0,0,0,0
XD-2244,Bug,67,Done,Accept any file name for top level module resources,"Look at the below Stream definition. This gets to ""deployed"" state even without the corresponding job. And then from there the same Job or any other Job can't be deployed and it goes to a hung state. Here is an example of the Stream definition:stream create --name jobName --definition ""file --ref=true --dir=/tmp/springxdsource/dropbox --pattern=*.csv > queue:job:filetsjob-sample002"" --deploy",1,3,3,0,1,null,Venkatesh Sivasubramanian,Venkatesh Sivasubramanian,4,0,0,0,0,0,0,0
XD-2302,Story,67,Done,"Acceptance test for ""spark-app"" batch job",* https://docs.angularjs.org/guide/migration#migrating-from-1-2-to-1-3* http://angularjs.blogspot.com/2014/10/ng-europe-angular-13-and-beyond.html* http://angularjs.blogspot.com/2014/10/angularjs-130-superluminal-nudge.html,4,4,1,1,1,Gunnar Hillert,Gunnar Hillert,Gunnar Hillert,2,0,0,0,0,0,0,0
XD-3021,Technical task,65,To Do,Acceptance test for Kafka as a message bus,Update the current docker images to 1.1.0 Release,1,4,1,0,0,null,Jason Hubbard,Jason Hubbard,1,0,0,0,0,0,0,0
XD-1879,Story,65,Done,Acceptance test for Kafka source and sink,Seehttps://github.com/spring-projects/spring-xd/blob/master/src/test/scripts/jdbc_tests#L96andhttps://github.com/spring-projects/spring-xd/blob/master/src/test/scripts/jdbc_tests#L64The second assert has initializeDb=false and so there are double the number of rows running the job a second time.,2,4,1,1,0,Glenn Renfro,Mark Pollack,Mark Pollack,0,0,0,0,0,0,0,0
XD-1772,Bug,50,Done,Acceptance test must be able to handle log names with PID suffix,A stream definition such as http | transform | transform | file will limit functionality such as taps since you can't reference which specific module to apply the tap. Should be proactive in parsing the DSL and force the use of a label to disambiguate.  ,4,3,3,1,0,Eric Bottard,Mark Pollack,Mark Pollack,4,0,1,0,0,0,0,0
XD-1377,Story,45,Done,Acceptance Tests for Labels and taps,"This applies to a few places (when addressing the issue a search should be done to uncover any others) e.g.:ContainerServerApplication:    public static final String NODE_PROFILE = ""node"";*Options classes:     ""The transport to use for data messages (from node to node)""     ""The transport to use for control messages (between admin and nodes)""",4,4,2,1,0,Mark Fisher,Mark Fisher,Mark Fisher,4,0,0,0,0,0,0,0
XD-2588,Story,73,Done,Acceptance Tests needs to wait for JobDefinitionResources to be populated ,Run a clean gradle build to identify all warnings.,3,4,2,1,0,Gunnar Hillert,Mark Pollack,Mark Pollack,1,0,1,0,0,0,0,0
XD-1064,Story,28,Done,Access-Control-Allow-Origin header should not be hard-coded,"for example the following should work:{code}xd:>stream create a1 --definition ""queue:a > transform --expression=payload+'-a' | log""Created new stream 'a1'xd:>stream create b1 --definition ""queue:b > transform --expression=payload+'-b' | log""Created new stream 'b1'xd:>stream create s1 --definition ""http | router --expression=payload.contains('a')?'queue:a':'queue:b'""Created new stream 's1'xd:>http post --data ""ha""> POST (text/plain;Charset=UTF-8) http://localhost:9000 ha> 200 OK// log shows: ""ha-a""xd:>http post --data ""hi""> POST (text/plain;Charset=UTF-8) http://localhost:9000 hi> 200 OK// log shows: ""ha-b""{code}This needs to be tested against all transports (local redis and rabbit)",4,4,1,1,0,David Turanski,Mark Fisher,Mark Fisher,2,0,0,0,0,0,0,0
XD-1548,Improvement,45,Done,Accessing non-existing module causes NullPointerException,{{ContainerListener}} {{StreamListener}} and {{JobListener}} have duplicate code for deploying and undeploying modules. This needs to be consolidated. One possibility is for the deployment code to live in classes named {{StreamDeployer}} and {{JobDeployer}}.,10,3,2,1,0,Patrick Peralta,Patrick Peralta,Patrick Peralta,2,0,1,0,0,1,1,0
XD-3081,Bug,83,Done,Accessing step progress via REST fails with 403,"Cluster Type: SingleNodeMachine: MacPR: https://github.com/spring-projects/spring-xd/pull/1624https://github.com/spring-projects/spring-xd/pull/1626Stream that reproduces the problem:{noformat}stream create foo --definition ""filein: file --dir=/tmp/xd/a0180520-c7fa-4d9d-8cc3-e36fbf59496a --pattern=de59d1b8-f99c-4c43-a8c0-2f6043546689.out --mode=contents | fileout: file --binary=true --mode=replace ""{noformat}Error Message:{noformat}Command failed org.springframework.xd.rest.client.impl.SpringXDException: Error with option(s) for module file of type sink:    mode: Failed to convert property value of type 'java.lang.String' to required type 'org.springframework.xd.dirt.modules.metadata.FileSinkOptionsMetadata$Mode' for property 'mode'; nested exception is java.lang.IllegalStateException: Cannot convert value of type [java.lang.String] to required type [org.springframework.xd.dirt.modules.metadata.FileSinkOptionsMetadata$Mode] for property 'mode': no matching editors or conversion strategy found{noformat}Stacktrace:{noformat}2015-05-19 14:30:56329 1.2.0.SNAP ERROR qtp671416633-35 rest.RestControllerAdvice - Caught exception while handling a requestorg.springframework.xd.dirt.plugins.ModuleConfigurationException: Error with option(s) for module file of type sink:    mode: Failed to convert property value of type 'java.lang.String' to required type 'org.springframework.xd.dirt.modules.metadata.FileSinkOptionsMetadata$Mode' for property 'mode'; nested exception is java.lang.IllegalStateException: Cannot convert value of type [java.lang.String] to required type [org.springframework.xd.dirt.modules.metadata.FileSinkOptionsMetadata$Mode] for property 'mode': no matching editors or conversion strategy foundat org.springframework.xd.dirt.plugins.ModuleConfigurationException.fromBindException(ModuleConfigurationException.java:55)at org.springframework.xd.dirt.stream.XDStreamParser.buildModuleDescriptors(XDStreamParser.java:191)at org.springframework.xd.dirt.stream.XDStreamParser.parse(XDStreamParser.java:122)at org.springframework.xd.dirt.stream.AbstractDeployer.validateBeforeSave(AbstractDeployer.java:115)at org.springframework.xd.dirt.rest.XDController.save(XDController.java:260)at sun.reflect.GeneratedMethodAccessor191.invoke(Unknown Source)at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)at java.lang.reflect.Method.invoke(Method.java:606)at org.springframework.web.method.support.InvocableHandlerMethod.doInvoke(InvocableHandlerMethod.java:221)at org.springframework.web.method.support.InvocableHandlerMethod.invokeForRequest(InvocableHandlerMethod.java:137)at org.springframework.web.servlet.mvc.method.annotation.ServletInvocableHandlerMethod.invokeAndHandle(ServletInvocableHandlerMethod.java:110)at org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.invokeHandleMethod(RequestMappingHandlerAdapter.java:776)at org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.handleInternal(RequestMappingHandlerAdapter.java:705)at org.springframework.web.servlet.mvc.method.AbstractHandlerMethodAdapter.handle(AbstractHandlerMethodAdapter.java:85)at org.springframework.web.servlet.DispatcherServlet.doDispatch(DispatcherServlet.java:959)at org.springframework.web.servlet.DispatcherServlet.doService(DispatcherServlet.java:893)at org.springframework.web.servlet.FrameworkServlet.processRequest(FrameworkServlet.java:966)at org.springframework.web.servlet.FrameworkServlet.doPost(FrameworkServlet.java:868)at javax.servlet.http.HttpServlet.service(HttpServlet.java:755)at org.springframework.web.servlet.FrameworkServlet.service(FrameworkServlet.java:842)at javax.servlet.http.HttpServlet.service(HttpServlet.java:848)at org.eclipse.jetty.servlet.ServletHolder.handle(ServletHolder.java:684)at org.eclipse.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1496)at org.springframework.boot.actuate.autoconfigure.EndpointWebMvcAutoConfiguration$ApplicationContextHeaderFilter.doFilterInternal(EndpointWebMvcAutoConfiguration.java:291)at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:107)at org.eclipse.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1467)at org.springframework.web.filter.HiddenHttpMethodFilter.doFilterInternal(HiddenHttpMethodFilter.java:77)at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:107)at org.eclipse.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1467)at org.springframework.web.filter.HttpPutFormContentFilter.doFilterInternal(HttpPutFormContentFilter.java:87)at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:107)at org.eclipse.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1467)at org.springframework.boot.actuate.trace.WebRequestTraceFilter.doFilterInternal(WebRequestTraceFilter.java:102)at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:107)at org.eclipse.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1467)at org.springframework.security.web.FilterChainProxy.doFilterInternal(FilterChainProxy.java:186)at org.springframework.security.web.FilterChainProxy.doFilter(FilterChainProxy.java:160)at org.eclipse.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1467)at org.springframework.boot.actuate.autoconfigure.MetricFilterAutoConfiguration$MetricsFilter.doFilterInternal(MetricFilterAutoConfiguration.java:90)at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:107)at org.eclipse.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1467)at org.eclipse.jetty.servlet.ServletHandler.doHandle(ServletHandler.java:499)at org.eclipse.jetty.server.handler.ScopedHandler.handle(ScopedHandler.java:137)at org.eclipse.jetty.security.SecurityHandler.handle(SecurityHandler.java:557)at org.eclipse.jetty.server.session.SessionHandler.doHandle(SessionHandler.java:231)at org.eclipse.jetty.server.handler.ContextHandler.doHandle(ContextHandler.java:1086)at org.eclipse.jetty.servlet.ServletHandler.doScope(ServletHandler.java:428)at org.eclipse.jetty.server.session.SessionHandler.doScope(SessionHandler.java:193)at org.eclipse.jetty.server.handler.ContextHandler.doScope(ContextHandler.java:1020)at org.eclipse.jetty.server.handler.ScopedHandler.handle(ScopedHandler.java:135)at org.eclipse.jetty.server.handler.HandlerWrapper.handle(HandlerWrapper.java:116)at org.eclipse.jetty.server.Server.handle(Server.java:370)at org.eclipse.jetty.server.AbstractHttpConnection.handleRequest(AbstractHttpConnection.java:494)at org.eclipse.jetty.server.AbstractHttpConnection.content(AbstractHttpConnection.java:982)at org.eclipse.jetty.server.AbstractHttpConnection$RequestHandler.content(AbstractHttpConnection.java:1043)at org.eclipse.jetty.http.HttpParser.parseNext(HttpParser.java:865)at org.eclipse.jetty.http.HttpParser.parseAvailable(HttpParser.java:240)at org.eclipse.jetty.server.AsyncHttpConnection.handle(AsyncHttpConnection.java:82)at org.eclipse.jetty.io.nio.SelectChannelEndPoint.handle(SelectChannelEndPoint.java:667)at org.eclipse.jetty.io.nio.SelectChannelEndPoint$1.run(SelectChannelEndPoint.java:52)at org.eclipse.jetty.util.thread.QueuedThreadPool.runJob(QueuedThreadPool.java:608)at org.eclipse.jetty.util.thread.QueuedThreadPool$3.run(QueuedThreadPool.java:543)at java.lang.Thread.run(Thread.java:745)Caused by: org.springframework.validation.BindException: org.springframework.validation.BeanPropertyBindingResult: 1 errorsField error in object 'target' on field 'mode': rejected value [replace]; codes [typeMismatch.target.modetypeMismatch.modetypeMismatch.org.springframework.xd.dirt.modules.metadata.FileSinkOptionsMetadata$ModetypeMismatch]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [target.modemode]; arguments []; default message [mode]]; default message [Failed to convert property value of type 'java.lang.String' to required type 'org.springframework.xd.dirt.modules.metadata.FileSinkOptionsMetadata$Mode' for property 'mode'; nested exception is java.lang.IllegalStateException: Cannot convert value of type [java.lang.String] to required type [org.springframework.xd.dirt.modules.metadata.FileSinkOptionsMetadata$Mode] for property 'mode': no matching editors or conversion strategy found]at org.springframework.xd.module.options.PojoModuleOptionsMetadata.bindAndValidate(PojoModuleOptionsMetadata.java:205)at org.springframework.xd.module.options.PojoModuleOptionsMetadata.interpolate(PojoModuleOptionsMetadata.java:139)at org.springframework.xd.module.options.FlattenedCompositeModuleOptionsMetadata.interpolate(FlattenedCompositeModuleOptionsMetadata.java:152)at org.springframework.xd.module.options.EnvironmentAwareModuleOptionsMetadataResolver$ModuleOptionsMetadataWithDefaults.interpolate(EnvironmentAwareModuleOptionsMetadataResolver.java:168)at org.springframework.xd.dirt.stream.XDStreamParser.buildModuleDescriptors(XDStreamParser.java:188)... 61 more{noformat}",3,2,1,1,1,Gunnar Hillert,Glenn Renfro,Glenn Renfro,0,0,1,0,0,0,0,0
XD-691,Story,19,Done,Accessing xd-admin URLs in the browser return XML and not JSON,Make the default value of enableJmx false until we have tested/documented JMX functionality,2,4,1,1,0,David Turanski,Mark Pollack,Mark Pollack,0,0,0,0,0,0,0,0
