TaskNumber,Summary,Priority,RaisedByID,AssignedToID,AuthorisedByID,StatusCode,ProjectCode,ProjectBreakdownCode,Category,SubCategory,HoursEstimate,HoursActual,DeveloperID,DeveloperHoursActual,TaskPerformance,DeveloperPerformance
2638,Risk History Screen Displays On Dev System But Not On Live System,4,13,42,6,FINISHED,PC2,PBC21,Development,Bug,14,5.25,42,5.25,8.75,8.75
2639,Event Change Caused Form Event Not Handled - Load Completed Exception,1,7,42,6,FINISHED,PC2,PBC10,Development,Bug,7,1.05,42,1.05,5.95,5.95
2640,"Linked USM, SCM Grids On Risk Entry Screen Shows 0 Items Even If Rows Return > 0",4,48,42,6,FINISHED,PC2,PBC21,Development,Bug,7,0.7,42,0.7,6.3,6.3
2641,Clicking on RI Reinstatement Tab causes fatal crash,3,26,26,6,FINISHED,PC2,PBC21,Development,Bug,7,1.75,26,1.75,5.25,5.25
2643,USM Search fails when statistical parameter entered,2,26,26,6,FINISHED,PC2,PBC21,Development,Bug,0.7,0.7,26,0.7,0,0
2644,FIL Code Missing From XXXX XLsior Export,5,7,26,6,FINISHED,PC2,PBC42,Development,Bug,3.5,0.7,26,0.7,2.8,2.8
2648,SCM Entry: Broker field should show the Claim Broker Contact and Phone No As A Tooltip.,5,58,58,6,FINISHED,PC2,PBC21,Development,Enhancement,7,7,58,7,0,0
2651,XXXX XLsior Export Fails,1,16,26,6,FINISHED,PC2,PBC21,Development,Bug,1.75,1.75,26,1.75,0,0
2652,Allow named groups in Search Control,3,29,26,58,FINISHED,PC9,PBC11,Development,Enhancement,7,21,26,21,-14,-14
2653,Net Triangle Figures Into Warehouse,2,58,26,6,FINISHED,PC2,PBC10,Development,Enhancement,7,21,26,21,-14,-14
2654,Exchange Rate Difference Report -- show As At movement only,2,45,26,6,FINISHED,PC2,PBC21,Development,Enhancement,3.5,1.4,26,1.4,2.1,2.1
2655,RI Figures/Nett Position Differs On Search Screen To Claim Entry Screen.,1,29,58,6,FINISHED,PC2,PBC42,Development,Bug,7,1.75,58,1.75,5.25,5.25
2659,Allow meaningful filenames for all statistical exports,3,7,26,58,FINISHED,PC9,PBC11,Development,Enhancement,1.4,0.7,26,0.7,0.7,0.7
2660,Add new 'OR' search feature in Core,4,58,42,58,FINISHED,PC9,PBC11,Development,Enhancement,7,7,42,7,0,0
2662,Marked For Deletion Default On Search Screen Annoys Users,9,13,42,6,RELEASED,PC2,PBC21,Development,Enhancement,7,2.8,42,2.8,4.2,4.2
2664,Add Filter to Comparator to select specific items to compare,1,1,50,58,FINISHED,PC9,PBC11,Development,Enhancement,14,14,50,14,0,0
2665,USM Split Capability - Add support for RI accrual splitting by IIType,1,16,42,6,FINISHED,PC2,PBC53,Development,Enhancement,70,70,42,70,0,0
2666,When Correcting USM/SCM Items Any AutoCorrection Errors Should Be Marked As Clear,4,16,64,6,FINISHED,PC2,PBC53,Development,Enhancement,35,14,64,14,21,21
2667,USM Validation Error Bug.,3,16,42,6,FINISHED,PC2,PBC53,Development,Bug,14,3.5,42,3.5,10.5,10.5
2669,Third grid Export Type Required.  Export ALL Rows.,5,16,42,6,FINISHED,PC2,PBC53,Development,Enhancement,14,7,42,7,7,7
2670,USM Only SuperSearch Required,1,16,42,6,FINISHED,PC2,PBC53,Development,Enhancement,14,14,42,14,0,0
2671,USM Search Needs Streamlining,1,58,58,6,FINISHED,PC2,PBC21,Development,Enhancement,7,7,58,7,0,0
2672,Add Two Phases To Master SuperSearch,2,58,42,6,FINISHED,PC2,PBC21,Development,Enhancement,14,14,42,14,0,0
2673,SCM Entry Screen OS Figures Should Be Consistantly Displayed On Screen.,1,29,58,6,FINISHED,PC2,PBC42,Development,Bug,35,42,58,42,-7,-7
2675,SCM Entry: Nett Figures Are Currently Not Displayed,1,29,58,6,FINISHED,PC2,PBC42,Development,Bug,35,21,58,21,14,14
2676,SCM Movement Date To Be Added To SCM Validation Errors.,1,16,58,6,FINISHED,PC2,PBC42,Development,Enhancement,3.5,7,58,7,-3.5,-3.5
2680,SCM Entry Screen: Saving Linked Policies Stop Forced Saves,5,58,58,6,FINISHED,PC2,PBC21,Development,Enhancement,14,3.5,58,3.5,10.5,10.5
2681,Move XXXX Warehouse to Live,1,13,26,6,FINISHED,PC2,PBC10,Development,Enhancement,1.75,1.75,26,1.75,0,0
2682,Triangulation : allow all currencies to be shown,2,58,26,58,FINISHED,PC9,PBC11,Development,Enhancement,1.75,1.75,26,1.75,0,0
2683,Risk Status Needs A USM/SCM Can Attach Flag.,8,58,58,6,FINISHED,PC2,PBC53,Development,Enhancement,7,7,58,7,0,0
2685,XXXX USM Search returning duplicate rows,3,6,26,6,FINISHED,PC2,PBC10,Development,Bug,1.75,0.7,26,0.7,1.05,1.05
2686,Add ORI Ref to USM Search (parameters and results),4,45,26,6,FINISHED,PC2,PBC21,Development,Enhancement,0.7,0.7,26,0.7,0,0
2689,Add SCM SuperSearch to SCMS,4,58,42,6,FINISHED,PC2,PBC21,Development,Enhancement,10.5,7,42,7,3.5,3.5
2690,Double-Click to open Risk from SCM Line doesn't work on UWRef field,5,26,58,6,FINISHED,PC2,PBC21,Development,Bug,3.5,1.75,58,1.75,1.75,1.75
2691,Crash on attempting to open Risk from SCM when Risk Line does not exist,2,58,26,6,FINISHED,PC2,PBC21,Development,Bug,1.75,5.25,26,5.25,-3.5,-3.5
2692,Update LoadData in SCM object,3,26,26,6,FINISHED,PC2,PBC21,Development,Enhancement,0.7,0.7,26,0.7,0,0
2693,DataBase Selector,5,58,42,58,FINISHED,PC9,PBC11,Development,Enhancement,14,10.5,42,10.5,3.5,3.5
2694,SCM Validation Rule: 'To Be Evented',1,16,42,6,FINISHED,PC2,PBC53,Development,Enhancement,1.75,3.5,42,3.5,-1.75,-1.75
2696,Amalgamate Triangulation and Triangulation Complete,5,58,26,6,FINISHED,PC2,PBC21,Development,Enhancement,7,42,26,42,-35,-35
2697,JobName truncated in META_BatchJobRunTimeControl -- find out why,7,26,26,6,FINISHED,PC2,PBC10,Development,Bug,1.75,0.7,26,0.7,1.05,1.05
2698,System Exit Fails to Cancel,2,26,26,58,FINISHED,PC9,PBC11,Development,Bug,1.75,5.25,26,5.25,-3.5,-3.5
2700,Selectively Disable Auditing (eg During SCM Validation),5,1,1,6,FINISHED,PC2,PBC21,Development,Enhancement,7,7,1,7,0,0
2701,Add Figures Books to Stats menu (for meaningful export to Excel),1,6,26,6,FINISHED,PC2,PBC21,Development,Enhancement,7,7,26,7,0,0
2702,Double click on Grid after new Event entered causes crash,4,42,42,6,FINISHED,PC2,PBC21,Development,Bug,3.5,3.5,42,3.5,0,0
2703,Add error-handling to Search Control so it doesn't crash app if lookup values bad,3,26,26,58,FINISHED,PC9,PBC11,Development,Bug,1.75,0.7,26,0.7,1.05,1.05
2705,Set Field Access Should ONLY Remove 'MANDATORY FIELD: ' Validations.,2,58,42,6,FINISHED,PC2,PBC21,Development,Bug,14,7,42,7,7,7
2712,Add New Reference Node To SiP.Comparator,2,58,42,58,FINISHED,PC9,PBC11,Development,Enhancement,7,3.5,42,3.5,3.5,3.5
2714,Search Control: Parameters not applied in order when order is > 9,3,26,26,58,FINISHED,PC9,PBC11,Development,Bug,0.7,0.7,26,0.7,0,0
2719,SCM Lines were being added with  UW references,7,16,37,6,FINISHED,PC2,PBC53,Development,Enhancement,7,7,37,7,0,0
2721,Alter column doesn't work if there is a default,1,58,50,58,FINISHED,PC9,PBC11,Development,Bug,7,7,50,7,0,0
2722,Comparator crashes when connection is cut.,1,26,50,58,FINISHED,PC9,PBC11,Development,Bug,14,7,50,7,7,7
2723,On the table summary in the comparator need a drop table statement,1,58,50,58,FINISHED,PC9,PBC11,Development,Enhancement,3.5,3.5,50,3.5,0,0
2724,Need a new node to show if the columns are identical apart from defaults.,1,58,50,58,FINISHED,PC9,PBC11,Development,Enhancement,14,7,50,7,7,7
2726,Difference Count in SiPComparator is incorrect,4,58,50,58,FINISHED,PC9,PBC11,Development,Bug,7,1.75,50,1.75,5.25,5.25
2727,Add More Clean text functionailty to SiPComparator,3,58,42,58,FINISHED,PC9,PBC11,Development,Enhancement,7,7,42,7,0,0
2728,SCM Screen Tab Ordering Needs Setting,5,13,58,6,FINISHED,PC2,PBC42,Development,Enhancement,3.5,1.75,58,1.75,1.75,1.75
2729,USM/RI Search On Stat Codes Fails,2,13,58,6,FINISHED,PC2,PBC42,Development,Bug,7,3.5,58,3.5,3.5,3.5
2730,Grid Export: Grid Columns Should Export Using The Same Formats As Displayed In The Grid.,6,7,42,6,FINISHED,PC2,PBC21,Development,Enhancement,14,10.5,42,10.5,3.5,3.5
2733,Calculation order is defined on the link between the risk and layer and not the layer itself.,1,37,37,6,FINISHED,PC2,PBC21,Development,Enhancement,14,14,37,14,0,0
2734,Risk Manual Entry Option Should Be Unavailable If User Not In RoleUsersRisk,3,13,42,6,FINISHED,PC2,PBC42,Development,Bug,3.5,2.8,42,2.8,0.7,0.7
2735,SCM Screen Needs To Display Fully In ReadOnly Form When User Not In RoleUsersSCM,2,13,42,6,FINISHED,PC2,PBC42,Development,Enhancement,14,7,42,7,7,7
2736,Event Search/Edit Needs To Be Set To ReadOnly When User Not In RoleEventsAdmin,2,13,42,6,FINISHED,PC2,PBC42,Development,Enhancement,7,3.5,42,3.5,3.5,3.5
2737,RI Manual Entry-Statistical Code Fields Remain ReadOnly Instead Of Standard Access,3,13,13,6,FINISHED,PC2,PBC42,Development,Bug,7,1.4,13,1.4,5.6,5.6
2739,Keep warehouse REF_CurrencyExchangeRateTable synchronised with triggers,5,26,26,6,FINISHED,PC2,PBC21,Development,Enhancement,0.7,0.7,26,0.7,0,0
2741,SP_RI_CALCULATE fails due to RILayerUniqueID having two possible choices,1,29,58,6,FINISHED,PC2,PBC42,Development,Bug,1.75,1.75,58,1.75,0,0
2743,Comparator could do with a stop button that can cancel a search without crashing,1,50,50,58,FINISHED,PC9,PBC11,Development,Enhancement,7,7,50,7,0,0
2744,SP_REF_CLEAN_AUDIT_TABLE hardcoded for synd. XXXX (in all synds),3,26,13,6,COMPLETED,PC2,PBC21,Development,Bug,0.7,0.25,13,0.25,0.45,0.45
2745,Create an SiPDecisionTable Object To Aid Complex Decision Code Readability,8,58,58,58,FINISHED,PC9,PBC11,Development,Enhancement,7,1.75,58,1.75,5.25,5.25
2756,XXXX XLsior Export doesn't seem to be including all figures -- investigate and fix,1,16,26,6,FINISHED,PC2,PBC53,Development,Bug,1.75,1.75,26,1.75,0,0
2763,"Validation Errors in no order, and they jump around when you add/remove one",7,26,26,58,FINISHED,PC9,PBC11,Development,Bug,3.5,0.7,26,0.7,2.8,2.8
2765,Triangulation Figures Look Incorrect,2,48,26,6,FINISHED,PC2,PBC21,Development,Bug,7,1.75,26,1.75,5.25,5.25
2768,XXXX SCM Search - Search On Specified EventCode Brings Back All Claims,2,16,37,6,FINISHED,PC2,PBC53,Development,Bug,7,7,37,7,0,0
2769,USM No Longer Shows Linked Risk,2,26,42,6,FINISHED,PC2,PBC21,Development,Bug,1.75,3.5,42,3.5,-1.75,-1.75
2774,Update filter search fields SP to bring back mixed statistical codes for USM searches,1,58,26,6,FINISHED,PC2,PBC21,Development,Enhancement,3.5,3.5,26,3.5,0,0
2776,"Database selector allows you to type in free text, but crashes if what you type isn't on its list",5,26,26,58,FINISHED,PC9,PBC11,Development,Bug,0.7,0.5,26,0.5,0.2,0.2
2781,Risk Manual Entry Fails To Load,2,13,42,6,FINISHED,PC2,PBC21,Development,Bug,1.4,1.4,42,1.4,0,0
2785,XXXX Figures Books figures for September don't match Open Box,1,6,26,6,FINISHED,PC2,PBC10,Development,Bug,7,28,26,28,-21,-21
2786,Bug in Warehouse build -- USMs counted multiple times for multiple Section Limits,1,6,26,6,FINISHED,PC2,PBC21,Development,Bug,1.75,0.7,26,0.7,1.05,1.05
2792,Cannot Add New Event - Save Fails,1,48,58,6,FINISHED,PC2,PBC10,Development,Bug,7,1.75,58,1.75,5.25,5.25
2797,XLsior Export To Exclude Single Claim,2,16,26,6,FINISHED,PC2,PBC53,Development,Enhancement,3.5,0.7,26,0.7,2.8,2.8
2798,SCM Claim Search: Message Reference To Include User Number as Prefix.,2,45,58,6,FINISHED,PC2,PBC21,Development,Bug,7,1.75,58,1.75,5.25,5.25
2805,SCM RI Calculations - Allow User To Specify If Run On Save,1,58,58,6,FINISHED,PC2,PBC21,Development,Enhancement,7,3.5,58,3.5,3.5,3.5
2806,XXXX Has A Claim Which Displays No Movements,1,13,58,6,FINISHED,PC2,PBC53,Development,Bug,7,1.75,58,1.75,5.25,5.25
2813,Event Search: Original Event Code,1,16,58,6,FINISHED,PC2,PBC53,Development,Enhancement,35,28,58,28,7,7
2815,Triangles showing too many years of account,3,16,26,6,FINISHED,PC2,PBC21,Development,Bug,3.5,0.7,26,0.7,2.8,2.8
2817,Errors Exporting Reports To Excel,5,1,1,6,FINISHED,PC2,PBC10,Development,Bug,7,7,1,7,0,0
2821,June 2004 Data Conversion Differences Found For XXXX,1,7,58,6,FINISHED,PC2,PBC42,Development,Bug,35,35,58,35,0,0
2823,Events Still Missing On Reports,1,7,1,6,FINISHED,PC2,PBC10,Development,Enhancement,7,7,1,7,0,0
2824,XXXX Daily Movement Report To Include XXXX and XXXX Syndicates,3,7,1,6,FINISHED,PC2,PBC10,Development,Enhancement,7,7,1,7,0,0
2825,XXXX Syndicate Paid Amounts,1,7,58,6,FINISHED,PC2,PBC10,Development,Bug,7,7,58,7,0,0
2830,Risk Search: Section Code Missing,1,46,26,6,FINISHED,PC2,PBC21,Development,Enhancement,1.75,0.7,26,0.7,1.05,1.05
2831,Risk Search: Show FAC RI Indicator On The LINE Section,4,46,22,6,RELEASED,PC2,PBC53,Development,Enhancement,14,2,22,2,12,12
2833,Risk Entry: Add Fields TRUST FUND and FIL CODE,2,46,26,6,FINISHED,PC2,PBC53,Development,Enhancement,1.75,5.25,26,5.25,-3.5,-3.5
2836,Triangulation : Incurred calculation appears wrong,1,37,26,6,FINISHED,PC2,PBC21,Development,Bug,3.5,5.25,26,5.25,-1.75,-1.75
2838,Risk Detail: Tick Box Needed If Declarations Attached.,6,46,65,6,FINISHED,PC2,PBC53,Development,Enhancement,21,6,65,6,15,15
2839,New report for XXXX,5,1,1,6,FINISHED,PC2,PBC10,Development,Enhancement,21,7,1,7,14,14
2840,Add new search critera to claim summary report for YYY ZZZ,5,1,1,6,FINISHED,PC2,PBC21,Development,Enhancement,7,7,1,7,0,0
2841,Sort Out Report Naming,10,1,1,6,FINISHED,PC2,PBC21,Development,Enhancement,7,7,1,7,0,0
2845,Search control throws exception when operator is 'IS ' or 'IS NOT ',1,58,26,6,FINISHED,PC2,PBC21,Development,Bug,3.5,0.7,26,0.7,2.8,2.8
2848,Check that triangulation RI is calculated correctly (particularly RI Outstanding),1,37,26,6,FINISHED,PC2,PBC21,Development,Bug,1.75,1.75,26,1.75,0,0
2850,Risk Detail: Scroll Bar Has Gone From The EPI/Exposure,1,46,26,6,FINISHED,PC2,PBC21,Development,Bug,1.75,0.7,26,0.7,1.05,1.05
2858,Auto Publishing Of The Daily Claims Movement Report,5,1,1,6,FINISHED,PC2,PBC21,Development,Enhancement,7,7,1,7,0,0
2859,Extend Daily Claim Movement Reoprt For XXXX,5,1,1,6,FINISHED,PC2,PBC21,Development,Enhancement,7,7,1,7,0,0
2860,Risk History - View USM / SCM not working,4,42,42,6,FINISHED,PC2,PBC21,Development,Bug,7,3.5,42,3.5,3.5,3.5
2862,Grouped Search does not behave correctly on Save,1,16,26,6,FINISHED,PC2,PBC21,Development,Bug,1.75,0.7,26,0.7,1.05,1.05
2863,Test XXXX conversion on live data/latest XXXX schema and update as needed,1,26,26,6,FINISHED,PC2,PBC75,Development,Enhancement,3.5,3.5,26,3.5,0,0
2864,Allow combo box (and search control?) to be unsorted,2,58,26,58,FINISHED,PC9,PBC11,Development,Enhancement,1.75,1.75,26,1.75,0,0
2865,Group Control behaves wrongly when no items selected,2,16,26,6,FINISHED,PC2,PBC21,Development,Bug,3.5,1.75,26,1.75,1.75,1.75
2866,Task System : Add Facility To Add A Block Of Tasks,3,58,42,58,FINISHED,PC11,PBC65,Development,Enhancement,7,7,42,7,0,0
2868,Printing a task,10,1,58,58,FINISHED,PC11,PBC65,Development,Enhancement,7,7.75,58,0.75,-0.75,6.25
2868,Printing a task,10,1,58,58,FINISHED,PC11,PBC65,Development,Enhancement,7,7.75,1,7,-0.75,NA
2869,Supersearch should to group CA Categories (LPSO CAT on USM SuperSearch),5,26,42,6,FINISHED,PC2,PBC21,Development,Enhancement,7,3.5,42,3.5,3.5,3.5
2870,Stats control title is poorly formatted,7,26,26,6,FINISHED,PC2,PBC21,Development,Bug,1.75,1.75,26,1.75,0,0
2871,Move triangulation stats control code from Technical Core to SCMS (if feasible -- investigate first),7,58,26,6,RELEASED,PC2,PBC21,Development,Enhancement,7,3.5,26,3.5,3.5,3.5
2872,Event Search - As At Event Date Search Fails,2,48,42,6,FINISHED,PC2,PBC53,Development,Bug,0.7,0.7,42,0.7,0,0
2894,Deploy XXXX Test on PRD,2,13,26,6,FINISHED,PC2,PBC75,Development,Enhancement,1.75,3.5,26,3.5,-1.75,-1.75
2896,Synd XXXX: SCM Validation Error For Manual RI To Be Checked Not Displaying.,1,16,58,6,FINISHED,PC2,PBC53,Development,Bug,0.7,0.7,58,0.7,0,0
2903,SCM Validation : Delete Duplicate Data Should Call Sub Procedures Dynamically.,2,58,58,6,FINISHED,PC2,PBC21,Development,Enhancement,14,14,58,14,0,0
2907,Syndicate XXXX USM/SCM Validation Conversion,2,13,13,6,FINISHED,PC2,PBC75,Development,Enhancement,7,7,13,7,0,0
2909,Risk Section Fields Area and Basis/Loss Basis need sorting out on XXXX,3,26,26,6,FINISHED,PC2,PBC21,Development,Bug,1.75,3.5,26,3.5,-1.75,-1.75
2912,Add Claimant[INTEREST] To SCM Search and Results Grid,1,16,42,6,FINISHED,PC2,PBC53,Development,Enhancement,1.75,1.4,42,1.4,0.35,0.35
2916,SCM Entry: Add Calculation Order & Ceeded Percentage To RI Grid Column.,3,37,58,6,FINISHED,PC2,PBC21,Development,Enhancement,35,14,58,14,21,21
2918,Report Subscriptions Do not work correctly on LTD-HQ2 ,5,1,1,6,FINISHED,PC2,PBC10,Development,Bug,7,7,1,7,0,0
2919,Triangulation: add a totals-only option,3,26,26,6,FINISHED,PC2,PBC21,Development,Enhancement,3.5,0.7,26,0.7,2.8,2.8
2920,Search group control: optimise behaviour when selecting group from drop down,5,26,26,6,FINISHED,PC2,PBC21,Development,Enhancement,3.5,0.7,26,0.7,2.8,2.8
2921,Triangulation: remove 'Sign On RI' parameter.,4,26,26,6,FINISHED,PC2,PBC21,Development,Enhancement,3.5,0.7,26,0.7,2.8,2.8
2926,Grid Export fails if a numeric column contains s,1,37,26,6,FINISHED,PC2,PBC21,Development,Bug,1.75,0.7,26,0.7,1.05,1.05
2927,Comparator should ignore IDENTITY columns when comparing REF/META data,3,26,50,58,FINISHED,PC9,PBC11,Development,Enhancement,7,3.5,50,3.5,3.5,3.5
2931,Add II Group and II Type as Return Fields on USM SuperSearch,3,16,42,6,FINISHED,PC2,PBC53,Development,Enhancement,3.5,1.75,42,1.75,1.75,1.75
2932,Add II Group and II Type as Return Fields on SCM SuperSearch,3,16,42,6,FINISHED,PC2,PBC53,Development,Enhancement,3.5,1.75,42,1.75,1.75,1.75
2934,Update InLookupSQL to make sure ordering is correct,3,26,26,6,FINISHED,PC2,PBC21,Development,Bug,1.75,0.7,26,0.7,1.05,1.05
2935,Month-Year DateTimePicker crashes app when set to September,1,26,26,6,FINISHED,PC2,PBC21,Development,Bug,0.7,0.7,26,0.7,0,0
2936,Synd XXXX - Dummy RI Policies Need To Be Fixed To Handle New System Developments,2,13,13,6,FINISHED,PC2,PBC75,Development,Enhancement,7,0.7,13,0.7,6.3,6.3
2937,XXXX SPs need bringing in line with XXXX's to allow for USM RI stats,1,42,26,6,FINISHED,PC2,PBC42,Development,Enhancement,1.75,0.7,26,0.7,1.05,1.05
2938,"Check the ""Claims To Be Netted Down To Zero"" (Fronting Items) Report ",5,1,1,6,FINISHED,PC2,PBC42,Development,Bug,7,7,1,7,0,0
2942,XXXX Fronting Items (Claims To Be Netted Down To Zero)  Report Broken,5,1,1,6,FINISHED,PC2,PBC21,Development,Bug,7,1.4,1,1.4,5.6,5.6
2943,"SCM Claim, Update movement of Lines with other tab pages",3,58,42,6,FINISHED,PC2,PBC21,Development,Enhancement,3.5,3.5,42,3.5,0,0
2947,Synd XXXX - RI Policies Attached To USM Policies Are Not Found,1,13,13,6,FINISHED,PC2,PBC75,Development,Bug,7,0.7,13,0.7,6.3,6.3
2951,RI Conversion for XXXX,1,58,26,6,FINISHED,PC17,PBC73,Development,Enhancement,14,21,26,21,-7,-7
